,awayline,awayodds,awayteam,crowd,date,day,gameID,homeline,homeodds,hometeam,round,time,venue,year
1240,38.5,5.5,Gold Coast,20627,31/7/16,Sunday,6331,-38.5,1.16,Melbourne,19,1:10PM,MCG,2016
1241,-24.5,1.22,Sydney,32401,31/7/16,Sunday,6332,24.5,4.5,Fremantle,19,1:20PM,Domain Stadium,2016
1242,75.5,19,Essendon,44264,31/7/16,Sunday,6333,-75.5,1.01,Adelaide,19,4:10PM,Adelaide Oval,2016
1243,-21.5,1.35,Collingwood,49122,5/8/16,Friday,6334,21.5,3.3,Richmond,20,7:50PM,MCG,2016
1244,22.5,3.85,Port Adelaide,30204,6/8/16,Saturday,6335,-22.5,1.28,Sydney,20,1:45PM,SCG,2016
1245,-32.5,1.18,Hawthorn,38818,6/8/16,Saturday,6336,32.5,5.05,Melbourne,20,2:10PM,MCG,2016
1246,-43.5,1.1,GWS,9108,6/8/16,Saturday,6337,43.5,7.5,Gold Coast,20,4:35PM,Metricon Stadium,2016
1247,-7.5,1.65,North Melbourne,30740,6/8/16,Saturday,6338,7.5,2.3,Western Bulldogs,20,7:25PM,Etihad Stadium,2016
1248,86.5,21,Brisbane,43549,6/8/16,Saturday,6339,-86.5,1.01,Adelaide,20,7:10PM,Adelaide Oval,2016
1249,-10.5,1.58,St Kilda,37797,7/8/16,Sunday,6340,10.5,2.45,Carlton,20,1:10PM,MCG,2016
1250,70.5,21,Essendon,29254,7/8/16,Sunday,6341,-70.5,1.01,Geelong,20,3:20PM,Etihad Stadium,2016
1251,-30.5,1.2,West Coast,36215,7/8/16,Sunday,6342,30.5,4.6,Fremantle,20,2:40PM,Domain Stadium,2016
1252,18.5,3.35,Collingwood,35010,12/8/16,Friday,6343,-18.5,1.35,Western Bulldogs,21,7:50PM,Etihad Stadium,2016
1253,-21.5,1.33,Carlton,17432,13/8/16,Saturday,6344,21.5,3.45,Brisbane,21,1:45PM,Gabba,2016
1254,24.5,3.85,North Melbourne,50657,13/8/16,Saturday,6345,-24.5,1.28,Hawthorn,21,2:10PM,MCG,2016
1255,25.5,3.85,West Coast,10385,13/8/16,Saturday,6346,-25.5,1.28,GWS,21,4:35PM,Spotless Stadium,2016
1256,-17.5,1.38,Sydney,33059,13/8/16,Saturday,6347,17.5,3.15,St Kilda,21,7:25PM,Etihad Stadium,2016
1257,15.5,2.65,Melbourne,33426,13/8/16,Saturday,6348,-15.5,1.5,Port Adelaide,21,7:10PM,Adelaide Oval,2016
1258,-19.5,1.38,Gold Coast,16622,14/8/16,Sunday,6349,19.5,3.15,Essendon,21,1:10PM,Etihad Stadium,2016
1259,-33.5,1.18,Geelong,45667,14/8/16,Sunday,6350,33.5,5,Richmond,21,3:20PM,MCG,2016
1260,-46.5,1.08,Adelaide,30116,14/8/16,Sunday,6351,46.5,8.5,Fremantle,21,2:40PM,Domain Stadium,2016
1261,3.5,2.02,Hawthorn,38581,19/8/16,Friday,6352,-3.5,1.83,West Coast,22,6:10PM,Domain Stadium,2016
1262,-20.5,1.3,Sydney,16495,20/8/16,Saturday,6353,20.5,3.6,North Melbourne,22,1:45PM,Blundstone Arena,2016
1263,-7.5,1.6,St Kilda,35255,20/8/16,Saturday,6354,7.5,2.4,Richmond,22,2:10PM,MCG,2016
1264,76.5,17,Fremantle,9556,20/8/16,Saturday,6355,-76.5,1.01,GWS,22,4:35PM,Spotless Stadium,2016
1265,28.5,4,Gold Coast,17644,20/8/16,Saturday,6356,-28.5,1.26,Collingwood,22,7:25PM,Etihad Stadium,2016
