,AFLfantasy,Supercoach,behinds,disposals,freesAgainst,freesFor,gameID,goals,handballs,hitouts,homeAway,i50s,kicks,marks,name,tackles
43692,114,116,0,30,1,2,6083,1,9,0,Home,3,21,4,Brent Stanton,4
43693,89,105,0,29,0,0,6083,0,18,1,Home,1,11,1,Brendon Goddard,4
43694,99,123,1,24,2,0,6083,0,3,0,Home,1,21,9,Michael Hurley,2
43695,81,89,1,23,0,0,6083,0,8,0,Home,4,15,5,James Gwilt,1
43696,84,88,0,21,1,0,6083,0,11,0,Home,2,10,1,Zachary Merrett,8
43697,94,112,0,19,0,4,6083,1,9,5,Home,1,10,1,Dyson Heppell,7
43698,84,73,0,19,1,1,6083,0,7,0,Home,3,12,4,Jackson Merrett,6
43699,75,87,1,19,0,0,6083,0,12,0,Home,1,7,3,Nicholas O'Brien,5
43700,64,85,3,18,4,1,6083,0,5,1,Home,4,13,6,Cale Hooker,1
43701,67,69,0,18,3,0,6083,0,7,20,Home,2,11,3,Shaun McKernan,0
43702,86,101,0,18,0,2,6083,0,5,0,Home,1,13,5,Mark Baguley,5
43703,65,80,0,16,0,0,6083,0,5,0,Home,5,11,6,Michael Hibberd,1
43704,55,73,0,16,1,2,6083,0,9,0,Home,5,7,3,Martin Gleeson,2
43705,54,53,0,13,0,0,6083,0,5,0,Home,2,8,0,David Zaharakis,5
43706,93,127,0,13,2,1,6083,5,5,4,Home,1,8,6,Joe Daniher,3
43707,34,47,0,12,3,0,6083,0,6,0,Home,2,6,3,Ariel Steinberg,1
43708,66,73,0,10,0,0,6083,1,4,0,Home,2,6,2,Ben Howlett,7
43709,62,56,0,9,0,0,6083,2,3,0,Home,4,6,2,Shaun Edwards,5
43710,58,47,0,9,0,0,6083,0,6,2,Home,1,3,1,Patrick Ambrose,8
43711,34,42,0,7,0,0,6083,0,6,0,Home,0,1,1,Jason Ashby,4
43712,30,24,0,6,0,0,6083,0,4,0,Home,0,2,4,Alex Browne,1
43713,33,35,0,6,1,0,6083,0,4,0,Home,0,2,2,Jayden Laverde,4
43714,110,92,2,35,1,0,6083,0,10,1,Away,9,25,1,Bernie Vince,3
43715,113,141,2,28,0,2,6083,1,4,1,Away,4,24,6,Tom McDonald,1
